col1,col2,col3,col4,col5,col6
2000.00000,188.00000,92.00000,7.51000,1.88000,6.02000
1000.00000,203.00000,51.00000,17.24000,2.76000,11.62000
500.00000,180.00000,40.00000,22.90000,2.97000,61.45000
2250.00000,206.00000,85.00000,8.44000,2.05000,8.54000
500.00000,195.00000,38.00000,30.66000,3.09000,60.74000
1248.00000,182.00000,77.40000,8.90000,2.50000,4.30000
1779.00000,191.00000,84.70000,7.30000,2.21000,5.00000
678.00000,180.00000,53.40000,15.10000,2.65000,7.20000
500.00000,205.00000,24.40000,27.10000,3.12000,17.70000
2500.00000,180.00000,60.70000,4.60000,1.99000,1.20000
1590.00000,209.00000,79.70000,12.80000,2.75000,19.00000
2078.26000,197.88000,97.00000,5.90000,1.72000,4.90000
1717.51000,180.00000,86.50000,6.10000,2.07000,1.90000
2500.00000,210.00000,108.00000,5.90000,2.00000,5.10000
500.00000,195.70510,36.30000,24.80000,3.03153,15.90964
500.00000,210.00000,23.60000,36.10000,3.30000,28.40000
2500.00000,210.00000,97.50000,7.60000,2.30000,5.30000
896.00000,210.00000,44.20000,24.50000,3.50000,15.10000
500.00000,210.00000,21.70000,28.70000,2.89000,18.80000
1500.00000,195.00000,86.50000,11.27000,2.39000,9.75000
2500.00000,195.00000,95.50000,6.90000,1.94000,2.62000
